,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,AboutMe,Interests,AboutAndrea,AboutCandie,AboutTiffany,AboutTrini,AboutSophia,Aboutjo,AboutAshley Nicole,Aboutlarrissa,AboutRLR,Aboutaims,AboutStacy,AboutJ,AboutTara,AboutSusan,AboutMesha,AboutLooking995,AboutJami,AboutMisty,AboutRoxanna,AboutClaire,AboutAda09,AboutAmy,AboutMariana,AboutCORRAL,AboutPriscilla,AboutLaura,AboutCherry,Aboutbeka78,AboutAnna,AboutAli,Aboutkat,AboutDragonfly236,AboutSyl,AboutTricey,AboutPauline,AboutAydnil,AboutJennifer,AboutLINDA,AboutVee,AboutD,AboutGloria,AboutAshley,Aboutjenny,AboutRosario,AboutPatricia,AboutMichele,Aboutjoy,AboutVictoria,AboutKaren,Aboutcyndi,AboutMari,AboutKara,AboutIngrid,AboutPamela,AboutWanda,AboutPrettyFeetChef,AboutMyBaby49,AboutSharon,AboutRosalba,AboutEmma,AboutMary Rodriguez,AboutShestie,AboutJenny RM,AboutChristina,AboutApril,AboutSonia,AboutLinda,AboutJessica,AboutNilla,AboutAsk me,AboutTenci,AboutBonnie,AboutAngela,AboutElizabeth,AboutLina,AboutKatrina,AboutSaTexas65,AboutDena,AboutKatherine,AboutT,AboutThelM,AboutLatonya,AboutBeautiful,AboutLil,AboutRuth Guerrero,Aboutlisa,AboutMaintain,AboutPRINCE$$'''''''''''''''''''''''''''''''''''''''''',AboutBelle,AboutChristie,AboutKristen,AboutCynthia,AboutAjaye,AboutJetta,About Me,AboutMartha Taylor,AboutCarolyn,AboutAlejandra,AboutAnita,Aboutsusie,AboutI’m not ur side ✌️ ...I want to be ur ✌️,AboutMyrna,AboutDahlia,AboutJenni,AboutKristy,AboutGayle,AboutNancy,AboutMarie,Aboutneida,AboutStephanie,AboutR,AboutMelissa,AboutKiona,AboutCarmen,Aboutlinda,AboutJanette,AboutLynette,AboutCindie,AboutJoy,AboutJae,AboutMonie,AboutSue,AboutTerry,AboutNiqq,AboutLori,Aboutveronica,AboutKenda,Age,Gender,Zodiac Sign
match_592,b_lareaux,Super bored,"['Sports', 'Tattoos', 'Cars']",.....,Non-Smoker with Prefer Not To Say body type," San antonio, Texas ","35 year old Female, 5' 9"" (175cm), Non-religious",Black,b_lareaux wants to date but nothing serious.,Associates Degree,Sapiophile,....,Man,Dating,Not Completed,View her chemistry results,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,Prefer Not To Say,Over 5 years,Very Ambitious,,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Leo
match_593,joyc123,Looking for a real relationship,None,"I have been divorced since 2001 . I have been in relationships, but never married again . I have 2 grown sons that are on there own. I am a country girl that likes yhe country way of life . I live in a small town right now , but i do live the country . I love country music and enjoy dancing and rodeos. I have a full time job and live on my own . If you would like to know more , just ask . Smile and enjoy Life ! ! Do not have Meet Me . If you eant to know more , message me. ",Non-Smoker with Average body type," Kingsland, Texas ","61 year old Female, 5' 3"" (160cm), Baptist",Caucasian,joyc123 is actively seeking a relationship.,High school,Hopeless Romantic,Paraprofessional ,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Pets,,,,,,,,,61,F,Sagittarius
match_594,IamMiaPWill,I am very out going and like to travel,"['Traveling', 'Music', 'Reading']","I have a bubbly personality, enjoy stimulating conversations! Would like some one that''s not afraid to step out his comfort zone if it that means being vulnerable. I would like to meet someone that's ready to travel on the weekend to do different things.I''m a football Junkie so I''m always prepared for that. An open line of communication can take you a long way..",Non-Smoker with Average body type," Round rock, Texas ","51 year old Female, 5' 8"" (173cm), Baptist",Black,IamMiaPWill is actively seeking a relationship.,Bachelors Degree,Hopeless Romantic,Paralegal,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,F,Aquarius
match_595,RealWomanHere,I want quality not quantity,"['Black is beautiful hint hint', 'Dogs', 'ZOO']",I'm very open minded and down to earth also non judgmental and looking for the same. Please be real as me also it saves alot of precious time. I have a great personality and a funny sense of humor...….love to laugh and have a good time just looking for someone special to do that with and see where it leads.,Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","47 year old Female, 5' 1"" (155cm), Catholic",Caucasian,RealWomanHere is looking for a relationship.,Some college,Animal Lover,Nanny ,Man, Long Term,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Brown,Green,Prefer Not To Say,All my kids are over 18,Over 10 years,Somewhat Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,F,Gemini
match_596,AshTX,Hi,"['Hiking', 'Camping', 'Cooking']","I'm a pretty laid back, consistently happy person, no drama here. Co-workers and friends would describe me as a bit of a goofball that is always smiling and ready to help whenever they need it. Also a bit of a nerd, and I’m okay with that, lol! I am very thankful to have a fun, sometimes crazy job that I really enjoy. I’m not one to text constantly all day and don’t really understand people that have to do that. During the week, I try to get some active time in after work, then chill. Once the weekend rolls around...it's on! I like well planned trips as much as on the fly ones. My favorite regular old Saturday is hiking early in the morning, then hitting a brewery in the afternoon. I’m also a total college football nut, whether it's going to games or just watching them with friends.I’m independent and looking for someone that I want in my life rather than someone I need. I'd like to meet someone for a long term adventure that is trustworthy, positive and loves college football!",Non-Smoker with Average body type," San antonio, tx, Texas ","40 year old Female, 5' 3"" (160cm), Non-religious",Caucasian,AshTX is looking for a relationship.,Bachelors Degree,Traveler,Property Management,Man,Long Term,Viewher relationship needs,View her chemistry results,Socially,Undecided/Open,Single,No,Brown,Green,Yes,No,Over 6 years,Ambitious,,,Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,F,Taurus
match_597,JaeS3318,Let's not waste eachothers time.I love chocolate!,None,If you can't be honest and real.. keep on moving right along! Honest. Loyal. Fun. outgoing. jokester. Perverted lol. All around love to have a good time..I'm just chill!I'm lookin for my wing man for live music venues/concerts/comedy shows!!!!!Just here for friends.. I mean what more can you expect from a site like this!,Non-Smoker with Big & Tall/BBW body type," ..new braunfels, Texas ","34 year old Female, 5' 7"" (170cm), Christian - other",Hispanic,JaeS3318 wants to date but nothing serious.,Bachelors Degree,Beach Bum,Hard Worker,Man,Dating,Not Completed,View her chemistry results,Socially,Prefer Not To Say,Divorced,No,Mixed Color,Brown,Prefer Not To Say,Yes,Over 10 years,Very Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dog,,,,,,,,34,F,Scorpio
match_598,moniedlove,Fearfully and Wonderfully Made !,None,"I’m a down to earth person . Love going to comedy shows, traveling, listening to great music, dinner dates, love the Lord so I go to church. I’m a chill person so I like quality time at home as well . I would like to meet a respectful man looking for a good friendship first which will then lead to a great relationship. I’m NOT looking for a one night stand or sex. So if you are not looking to take your time get to know me show me Your interested don’t waste my time and yours messaging me .",Non-Smoker with Average body type," San antonio, Texas ","40 year old Female, 5' 0"" (152cm), Christian - other",Black,moniedlove wants to find someone to marry.,Some college,Free Thinker,property management,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 7 years,Very Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Pets,,,,,,,40,F,Aquarius
match_6,amygurl77,****Hi****,None,Im a single 42 year old latina female..I've been living in San Antonio for about 17 years now and loving it..I reside on the north east part of town...I'm just looking for someone new to hang out with..If you are intrested in knowing more about me leave me a message..Thanks,Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","42 year old Female, 5' 9"" (175cm), Catholic",Hispanic,amygurl77 wants to date but nothing serious.,Some college,Princess,Work,Man,Friends,Not Completed,View her chemistry results,Socially,Prefer Not To Say,Single,No, Brown,Brown,Yes,No,Over 3 years,Somewhat Ambitious,No Pets,,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,F,Gemini
match_60,ifonly1962,Let's be Real!!,None,"Looking for the impossible that people just don't believe anymore."".Love.""All i ask in return be Real.Be a man of integrity. If God is first in your life you will know how to love me.In a world where you can be anything Be kind!! There is so much beauty in this journey called life even if we been hurt along the way.But i lift up my eyes because He gives me strength..i can do All things..Love.Mercy .Grace .Many people feel they are less than who God says they are. We get our identity from our careers, our political positions, our roles in the family, and a number of other lesser things. However, when we understand who God is, we more fully understand who we are.",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","57 year old Female, 5' 1"" (155cm), Christian - other",Hispanic,ifonly1962 is actively seeking a relationship.,High school,Crafty,Office,Man,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Green,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,F,Gemini
match_61,smmcou84,Where is your favorite place to travel??,"['Loving life', 'Helping People', 'Education']","I enjoy meeting new people, going out and trying new restaurants with amazing food and drinks, visiting new and old places, running outdoors over the gym, my home town ATX, and living and loving life to the fullest. If shopping is a hobby, that would be my number one. I also love to cook! I try to be better than I was the day before. Not looking for any fakes, crazies, drug addicts, or d*** pics. If I want one, I''ll ask for one. God bless!One more disclaimer—-I don’t like the want to meet you option... if u wanna chat send me a msg cause there is no way in hell im paying for this app. So if u are simply saying you would meet me that means essentially nothing to me. Message me. I don’t bite. FYIAlso, I live in ATX. If u are more than an hr drive from me... there’s basically no point in talking :)",Non-Smoker with Athletic body type," Austin, Texas ","35 year old Female, 5' 7"" (170cm), Christian - other",Caucasian,smmcou84 wants to date but nothing serious.,Bachelors Degree,Fashionista,Counseling,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Separated,No,Blond(e),Green,Yes,Yes,Over 10 years,Very Ambitious,,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Taurus
match_62,hdfree03,Not everyone's cup of tea,"['Bodybuilding', 'Guns', 'Harleys']",Cool and open-minded...looking for an adult casual relationship until Mr. Right comes along..but please don't be fooled..I have a brain and standards so I am not looking for a hookup...,Non-Smoker with Athletic body type," Hutto, Texas ","39 year old Female, 5' 6"" (168cm), Non-religious",Caucasian,hdfree03 wants to date but nothing serious.,Bachelors Degree,Free Thinker,Accountant,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Hazel,Yes,Yes,Over 10 years,Ambitious,No Pets,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,F,Capricorn
match_63,stillwaiting4unow,Be authentically you...,"['Hiking', 'Walking', 'Fishing']","FYI: Not interested in polyamory, those in ‘open’ & non-monogamous relationships, or pics of your body parts. If you are married, stay OUT of my inbox!! Oh, and I don’t want to date anyone who could be my dad or my son. Please adhere to (or stick close to) my age parameters. Because of the number of scammers, fake profiles, and married men on here, I’ll just cut to the chase. I know who I am & what I want, and I’ll wait for it for as long as necessary. I want the once in a lifetime type of love that takes my breath away. The one I ‘never saw coming’. A best friend/partner that I connect with on an ethereal level. I know he is out there. This just may not be the right venue or time. Your CURRENT (not past or projected) state: #1: you have TIME for a relationship. #2: You are ready to put EFFORT into a relationship. If you don’t meet #1 & 2, stop reading here & don’t waste my time. You: 5’8” or taller, physically fit, healthy, FUN, don’t take yourself too seriously, unselfish, HONEST (this starts with your profile, gentlemen!), respectful, empathic, emotionally & mentally intelligent, Romantic, passionate & financially stable. You listen to HEAR, not to answer. Reciprocity is a must: 100/100 ALWAYS. Me: 5’7(1/2)”. Educated, consistently employed, emotionally & mentally intelligent, romantic, kind, passionate, empathic and Spiritual. I wear my heart on my sleeve & will always be transparent. Stonewalling is a pet peeve. Communication should be open & honest, but always kind.... even when the conversation gets heavy. I have a diverse list of likes, including (but not limited to) billiards, hiking, fishing, wine, movies, music, arts, dancing & dining out. I grew up a tomboy and still don’t mind getting my hands dirty or playing in the mud, but I also like to dress up with heels for a night on the town. NO SMOKERS!!! NO MARRIED MEN!!If you're a hard core Trumpster, we probably won't get along. And for crying out loud, take off your sunglasses and SMILE so I can see your teeth (or if you even have them)! I do not have an upgraded account. If you’re interested then message me.",Non-Smoker with Athletic body type," Georgetown, Texas ","47 year old Female, 5' 7"" (170cm), Non-religious",Caucasian,stillwaiting4unow is looking for a relationship.,Bachelors Degree,Hopeless Romantic,Ask,Man,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Red,Blue,Yes,Yes,Over 10 years,Very Ambitious,,,Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,F,Aries
match_64,mamas11,love ~ live ~ laugh,"['Beaches', 'Netflex - movies', 'Cooking']","Hi I enjoy so many things but most importantly ~ Q -Family time is important to me . I’m not looking to be some ones down time , or some ones some time ! I’m wanting to be his all the time . I am looking for something serious, I truly believe communication is important when getting to know each other. I’m a simple easy going kinda Woman . I am happy and content in my life Drama free .. I love spontaneous road trips , And I enjoy all kinds of music especially country .. So you must love music and enjoy dancing .. We should have some similarities in common . So if your not looking for a long term relationship , please don’t waste my time .I am not here for a one Time fling ! Nor do I want a texting Bff . Just being Honest .. ",Non-Smoker with Average body type," Georgetown, Texas ","53 year old Female, 5' 2"" (157cm), Christian - other",Hispanic,mamas11 is looking for a relationship.,High school,Hopeless Romantic,admin,Man,Long Term,Not Completed,Not Completed,No,Does not want children,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,F,Gemini
match_65,rachell1120,exploring my world,"['Yoga', 'Boxing', 'MMA']","You can say I just recently moved here to the valley, from Houston Texas. Originally born raised in Texas, lived in las Vegas for 16 years, 2- years in Puerto Rico traveled took off a couple years to travel, visited several countries & many US states, I still have my home in Houston will be heading back. I currently enrolled in law school start in fall 2020. May head to the east coast for my final year. I am super excited. I am looking for a honest decent sincere man to share my future with. I enjoy outdoors, live concerts, theatre, ballet, I enjoy all types of music so I don’t have a favorite. Enjoy long walks, especially the beach. I enjoy surfing, anything outdoors. I do go to the gym, watching sports & do enjoy playing a few of them as well. I like to stay busy active. I have a pet doggie clyde & cat his name is Amun- Ra they are part of the package. You must love animals. I do not date married men & I do not do snap chat, or kik!!! Just saying. serious inquires please! If your obsessed with your child/ or ex- wife,- Girlfriend- that’s un- healthy the person needs to balance their life. I am not interested in any man that can not handle his family & personal life outside of that! Thanks and good luck .",Non-Smoker with Average body type," San antonio, Texas ","50 year old Female, 5' 6"" (168cm), Catholic",Hispanic,rachell1120 is actively seeking a relationship.,High school,Hopeless Romantic,financial,Man,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,,,Cat & Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,F,Scorpio
match_66,devra1,"Who knows, Maybe ...",None,"I love a man that has self confidence, ambition and a little out-going ;)I am ready to do more traveling and explore the world!I am looking to have fun, then have more fun more often and see where it goes. Life is too short, here to enjoy and share it!Looking for something more fun and deep than a hook up or a “buddy” ;)Please let’s not text forever :), real connection is important ",Non-Smoker with Athletic body type," San antonio, Texas ","38 year old Female, 5' 0"" (152cm), Jewish",Caucasian,devra1 is looking for a relationship.,Bachelors Degree,Free Thinker,Self employed ,Man,Long Term,Not Completed,View her chemistry results,Socially,Want children,Single,No,Brown,Brown,Yes,No,Over 7 years,Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,F,Pisces
match_67,M_Kashmere2019,Beautiful Hispanic Female (BBW),None,N/A,Non-Smoker with Big & Tall/BBW body type," San antonio, Texas ","36 year old Female, 5' 9"" (175cm), Non-religious",Hispanic,M_Kashmere2019 is actively seeking a relationship.,Some college,Tattooed/Pierced,Data Clerk,Man,Friends,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 3 years,Very Ambitious,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,36,F,Capricorn
match_68,valkyrie5,I’m real,"['Dance', 'Read', 'Books']",I love to read and be outdoors. Music is vital to my life. Wanting someone who really wants to date. Tired of being used and hurt and treated like I’m not good enough and also told I’m not good enough and crazy for showing emotions. I keep being hurt and humiliated so please don’t waste my time if ur not real or not wanting to really date cuz it’s tiring constantly being hurt and used,Non-Smoker with Average body type," San marcos, Texas ","35 year old Female, 5' 7"" (170cm), Non-religious",Caucasian,valkyrie5 is looking for a relationship.,Associates Degree,Bookworm,pastry chef,Man,Dating,Not Completed,,Socially,Undecided/Open,Single,No,Red,Blue,Yes,No,Over 5 years,Ambitious,Dog,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,F,Capricorn
match_69,lauren320,Real,None,Chill outgoing down to earth,Non-Smoker with Prefer Not To Say body type," Georgetown, Texas ","38 year old Female, 5' 2"" (157cm), Catholic",Other Ethnicity,lauren320 is looking for a relationship.,Graduate Degree,Animal Lover,Medical ,Man,Long Term,Not Completed,Not Completed,Prefer Not To Say,Prefer Not To Say,Single,No,Brown,Hazel,Yes,No,Over 10 years,Very Ambitious,Dog,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,F,Aries
match_7,mmorgan17,Hi,None,"Hi im here in Austin, just checking this out. I'm silly, sarcastic, down to earth and love an adventure! I don't see who wants to ""meet me"", so just send a message. I'm friendly!",Non-Smoker with Prefer Not To Say body type," Austin, Texas ","48 year old Female, 5' 4"" (163cm), Non-religious",Caucasian,mmorgan17 is looking for a relationship.,Bachelors Degree,Humanist,Admin,Man,Dating,Not Completed,View her chemistry results,Socially,Undecided/Open,Divorced,No,Blond(e),Hazel,Yes,No,Over 8 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,,48,F,Libra
match_70,Terry11_11,Giving this a try..,None,Ask me...,Non-Smoker with A Few Extra Pounds body type," New braunfels, Texas ","48 year old Female, 5' 9"" (175cm), Christian - other",Black,Terry11_11 wants to find someone to marry.,Bachelors Degree,Diva,Accountant,Man,Long Term,Not Completed,View her chemistry results,Socially,Does not want children,Single,No,Black,Brown,Yes,All my kids are over 18,Over 9 years,Ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Pets,,,,,48,F,Scorpio
match_71,herminia,Un placer conocerte,None,"Soy una mujer sencilla. Amo la naturaleza, playa, ríos, lagos, bosques, animales. Me gusta la música romántica y salsa. Admiro a las personas honestas, humildes de ? y sinceras. He conocido varios países, fueron vivencias únicas, convivir con personas de diferentes culturas, y costumbres. Creo en el Amor a primera vista y la fidelidad.",Non-Smoker with Average body type," Round rock, Texas ","57 year old Female, 5' 6"" (168cm), Non-religious",Hispanic,herminia wants to find someone to marry.,Graduate Degree,Beach Bum,Periodista,Man,Long Term,Not Completed,Not Completed,No,Does not want children,Divorced,No,Mixed Color,Brown,No,No,Over 9 years,Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,F,Virgo
match_72,Bindykins,In a Temporary Holding Pattern,"['Traveling', 'Bird-watching', 'Hiking']","I'm a retired environmental geologist who enjoys the outdoors and exploring life's little mysteries. Being an army brat and having great wanderlust, I am well-traveled. But, now, I want a simpler life. I want few things but a nice, quiet place to live, my animals and my friends and family. A mate. I'd like to live out my days with leisurely travels, exploring, .... but also doing something constructive. I never really want to retire all together. I enjoy fine dining and hole-in-the wall dives, visiting museums, going to local festivals, all kinds of sports like hiking, swimming, bicycling and dancing...but, I am also a home body and an introvert. I love quiet evenings home alone or with my companions, listening to music or reading, surfing the internet or watching videos or simply quietly sharing my space with another.Presently, for work, I clear and manage properties. I enjoy the physical labor and the sense of accomplishment I feel when turning a trashed property into something welcoming and valuable. Being healthy and active myself, I am looking for the same qualities in a man. Nice teeth are a real plus. I mean flossing is a real turn on.:-)I'm very curious and am always open to learning about new things. I'm a very good listener and love learning about other people's lives and adventures. I am also kind and empathetic. While I'm a passionate person and feel strongly about my own convictions, I'm sensitive to the beliefs of others and seek to find a middle ground. We're all unique with different life's experiences coloring who we are. My goal is to find where we agree instead of focusing on our differences. I make one important exception. If you're racist, please pass me by. I will never agree with you.And, music. It is ambrosia to the soul. I like all types of music. I love small-venue music clubs and even large concerts.",Non-Smoker with Athletic body type," San antonio, Texas ","62 year old Female, 5' 3"" (160cm), Non-religious",Caucasian,Bindykins is looking for a relationship.,Bachelors Degree,Hippie,Property Manager,Man,Long Term,Not Completed,Not Completed,No,Prefer Not To Say,Divorced,No,Blond(e),Blue,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,No Pets,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,F,Scorpio
match_73,Robin_66,Dolphin,None,I am a person who likes to have fun in life,Non-Smoker with A Few Extra Pounds body type," Waelder, Texas ","53 year old Female, 5' 4"" (163cm), Non-religious",Caucasian,Robin_66 isn't seeking a relationship or any kind of commitment.,High school,Adventurer,Work at Pilot Flying J,Man,Hang Out,Not Completed,View her chemistry results,No,Prefer Not To Say,Single,No,Brown,Hazel,Yes,All my kids are over 18,Over 7 years,Somewhat Ambitious,,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,F,Leo
match_74,AlluringEJ,Headline for Rent,"['Traveling', 'Dancing', 'Cooking']","There is a lot to me but I will keep it simple. I have a big heart, open to new experiences, love to travel, enjoy movie soundtracks(loves anything James Horner),spending time with friends and family, etc... I come from a multicultural background, and I interracially date. To find out more, just ask ;-)",Non-Smoker with Average body type," Austin, Texas ","37 year old Female, 5' 9"" (175cm), Christian - other",Black,AlluringEJ wants to find someone to marry.,,Bookworm,Insurance,Man,Long Term,Not Completed,View her chemistry results,Socially,Want children,Single,No,Brown,Hazel,Yes,No,Over 1 year,Very Ambitious,No Pets,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,F,Leo
match_75,pomk85,Go Cowboys,None,Under construction!,," Round rock, Texas ","52 year old Female, 5' 9"" (175cm), Christian - other",Caucasian,pomk85 is looking for a relationship.,Some college,Crafty,Self employed,Man,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Blond(e),Green,Yes,Yes,Over 10 years,Very Ambitious,,No Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,F,Leo
